who did mr bojangles,Jerry Jeff Walker,Mr. Bojangles,Q841967,"P175, performer"
where does angela davis currently work,"University of California, Santa Cruz",Angela Davis,Q160456,"P108, employer"
who wrote west side story,Arthur Laurents,West Side Story,Q669010,"P87, librettist "
who has brad pitt dated,,Brad Pitt,Q35332,
what year was President kennedy president?,President of the United States (start time: 1961),John F. Kennedy,Q9696,"P39, position held"
what is a monarch to a monarchy,,"monarchy, monarch ","Q7269, Q116",
who sang momma told me not to come,Eric Burdon,Mama Told Me Not to Come,Q6745324,
who designed the statue of liberty,Édouard René de Laboulaye,Statue of Liberty,Q9202,
who wrote second corinthians,Paul the Apostle,Second Epistle to the Corinthians,"Q123808, Q9200",
who first synthesized heroin,C.R. Alder Wright,Heroin,Q907184,
what type of land is savannah,Grassland Ecosystem ,Savanna,Q24835238,
who set the world record for women for high jump,Stefka Kostadinova,High jump,"Q232008, Q3474292",
what type of ecosystem does stingrays live in,Marine waters,Stingray,Q105079476,
what religion is primary in africa?,Christianity or Islam,Religion in Africa,Q1076557,
when did marlins start,1993,Miami Marlins,Q652879,
What are the different translations for the Bible,518 languages,Bible translations,Q4903203,
when did ms .drgs go into effect,1982,Diagnosis-related group,"Q1208158,Q71603596",
what would be the deliverables,"report,documents",,"Q2297847, Q28600765",
what is a google in math,A large number,Googol,Q95,
who makes skittles?, a brand of fruit-flavoured sweets,Skittles,Q868612,
What is a 28 day cycle?,menstrual cycle,menstrual cycle,Q83864,
who won the 1967 nba championship,76ers,1967 NBA Finals,Q8961710,
who make airbus,EADS,"Airbus",Q67,
when did the movie deep blue sea come out,1999,Deep Blue Sea,Q599095,
who wrote the song for star wars,John Williams,Star Wars music,"Q2061394,Q131285",
what are private labels,brand for goods,Private label,Q722080,
what is a neuro tract,Neural pathway,Neural pathway,Q2472302,
when did dr.carter g woodson die,1950,Carter Godwin Woodson,Q5047158,
what makes of the united states,"United States","United States",Q30,
what are circumpolar constellations,,Circumpolar constellation,Q1067416,
what states allow same sex marriage,"Connecticut , Iowa , Maine , Maryland , Massachusetts , New Hampshire , New York , Rhode Island , Vermont , and Washington",Same-sex marriage in the United States,Q17476,
who wrote the song hallelujah,Leonard Cohen,"Hallelujah (Leonard Cohen song)",Q969635,
what years was the 18th century,1701,18th century,Q7015,
what year was the eiffel tower made,1889,Eiffel Tower,Q243,
what are land parcels,,,,
what species is a spider,,,,
what is adoration catholic church,a practice in the Roman Catholic Church,"Eucharistic adoration",Q1059575,
when the body is systemic,research project ,Systemic,Q678941,
Where Elephants Live,"sub-Saharan Africa , and South and Southeast Asia","Elephant",Q7378,
who is flo from progressive,,,,
what is petit lemans,a sports car,"Petit Le Mans",Q1892098,
where is humboldt ks,southeast Kansa,"Humboldt, Kansas",Q2073701,
what is chep pallet,,"pallet, CHEP","Q505996, Q1023616",
What Is Range in Math,,"Mathematics, range of a function","Q395, Q1806121",
what is the ingredient in mustard,mustard seed,"ingredient, mustard","Q10675206, Q131748","P527, has part(s)"
who are the members of the climax blues band?,,Climax Blues Band,Q490339,
WHAT IS PARESTHESIAS OF HANDS,,"paresthesia, hand","Q769220, Q33767",
where is cougar town filmed,,Cougar Town,Q575696,
what is the population of san francisco,"873,965","San Francisco, population","Q62, Q2625603","P1082, population"
what is rock of ages about,,Rock of Ages,Q651060,
what is general chu chicken,,chicken,Q780,
what was the city of Mithridates,,Mithridates VI of Pontus,Q185126,
who is basketball star antoine walker,,Antoine Walker,Q521829,
WHere is a famous alluvial plain,,alluvial plain,Q656586,
what is the si unit of pressure,pascal,"International System of Units, pressure","Q12457, Q39552","P8111, recommended unit of measurement"
what is the great basin area,,Great Basin,Q966943,
what is in a tequila sunrise?,"tequila, grenadine, orange juice, ice cube, orange slice, maraschino cherry, Highball glass",Tequila Sunrise,Q1163791,"P186, made from material"
what is the function of the liver,,liver,Q9368,
what is the formula for calcium nitrate,CaN₂O₆,calcium nitrate,Q407392,"P274, chemical formula "
where is the 2011 mlb all star game location,,"Major League Baseball, all-star game","Q1163715, Q2647651",
what is customary at shiva,,Shiva,Q11378,
what is in a hot toddy,,hot toddy,Q1418227,
what is name of national anthem song of switzerland,Swiss Psalm,"Switzerland, national anthem","Q39, Q23691","P85, anthem"
what was the first year of kentucky derby,1875,Kentucky Derby,Q1141795,"P571, inception"
what is the color puce,red,puce,Q2591774,"P279, subclass of"
who is Dr. JB Danquah,,J. B. Danquah,Q377908,
where is big pokey from,United States of America,Big Pokey,Q859157,"P27, country of citizenship"
what is the erb/heart,,"herb, heart","Q207123, Q1072",
when was pokemon first started,,Pokémon,Q864,
what is the fundamental theorem of calculus used for,,"fundamental theorem of calculus, calculus","Q1217677, Q149972",
what is nicki minaj real name,"Onika, Tanya",Nicki Minaj,Q162202,"P735, given name"
who is suicide tna,,suicide,Q10737,
who is st patty?,,patty,Q3200265,
when was Mary Anderson born,,Mary Anderson,Q287688,
what is stent surgery,,stent,Q1325542,
where is the tibia location,,tibia,Q178366,
What is the prostate for?,,prostate,Q9625,
where is the sermon on the mount in the bible,Sistine Chapel,,Sermon on the Mount (painting by Cosimo Rosselli) / location,
what is sado masochism,,sado-masochism,Q2211650,
what is the oath of allegiance of the united states,,oath of allegiance to the United States,Q7074472,
what is the la tour de france,,tour de france,Q33881,
what is the social norm approach?,,social norms approach,Q12336254,
what is doxycycline hyclate used for,,doxycycline,Q422442,
what is sodium hypochlorite solution,,sodium hypochlorite,Q407204,
when was the tacoma bridge collapse?,,tacoma barrows bridge,Q226035,
what is brown flax,,flax,Q47089651,
who was mr big on sex and the city,Charis Noth,Sex and the City,Q3579,Mr.Big Q10933490
what is the actresses name that played in walk that line?,Reese Witherspoon,Walk the line,Q154077,cast member P161
what is the definition of a map,,map,Q4006,
when was How the west was won filmed?,1962,,"How the West Was Won (1962 film by John Ford, Ric...) / genre",
who is on blink 182 album cover,,"Blink-182, cover, album cover","Q482477, Q1333350",
what was the actress who played the pink power ranger,Amy Jo Johnson,,Power Rangers (2017 American superhero fil...) / cast member,
where is al jazeera based,,Al Jazeera,Q13477,
what is the purpose of child support?,,child support,Q954957,
where was martin luther king shot?,,Martin Luther King Jr.,Q8027,
where is La Palma africa,,La Palma,Q201689,
where was hillary clinton born,Edgewater Hospital,,Hillary Clinton (American politician) / place of birth,
Who was Daniel J Daly?,,,"[['Daniel Daly', 'Q707422']]",
what is the type of democracy in which all citizens have the right to make  government decisions,,"democracy, citizen, government decision","Q7174, Q1020994, Q109743823",
where was the first real roller coaster,,roller coaster,Q204832,
where was martin luther born,Lutherstadt Eisleben,,"Martin Luther (Saxon priest, monk and theo...) / place of birth",
"what is the concept of ""wellness"" ?",,wellness,Q1077209,
what is the measurements of saturn's moons,,"measurement, saturn, moon","Q12453, Q193, Q406",
who is the founder of twitter,Jack Dorsey,,Twitter (American microblogging service) / founded by,
what is google openid,,"Google, openid","Q95, Q244371",
what is atherosclerotic heart disease,coronary artery disease,,coronary artery disease (Artery disease characterized by plaque building up along the inner walls of t...),
what was the name of the uss john kennedy before,,USS John F.Kennedy,Q507410,
what were 3 important things that douglas MacArthur did?,,Douglas MacArthur,Q127417,
what is homebrew for wii,,wii homebrew,Q5976745,
what is korean money called,,"Korean, money","Q9176, Q1368",[]
what is in fruitcake,,fruitcake,Q4122095,[]
what is the latest season of psych,,psych,Q48758,[]
what is the main component of vaccines,,vaccine,Q134808,[]
what is preciosa crystal?,,Presciosa,Q3502967,[]
who are all of the jonas brothers,"Kevin Jonas, Joe Jonas, Nick Jonas",,Q134233,"[['has parts', 'P527']]"
who is mary matalin married to,James Carville,,Mary Matalin (American political consultant) / spouse,
where is the brisket from,,brisket,Q1324342,[]
